Data2013,numberschools,Total num Students,yield per teacher,num passed,percent passed,numfemale,numfemale passed,percentfemale passed,percentfemale,numBlack,numBlack Passed,percent Black passed,numblack taking exam,percent black in state,% taking / % state *100,# Black Females,# Black Females passed,% Black Females passed,numHispanic,numHispanic passed,percentHispanic passed,# Hispanic Females,# Hispanic Females passed,% Hispanic females passed,percent hispanic taking exam,percentHispanic in state,taketostate percentage ratio,,,,,,,,,,,
California,211,4964,23.52606635,3761,75.76551168,1074,776,72.25325885,21.6357776,74,42,56.75675676,1.49073328,6.7,22.24975044,16,8,50,392,186,47.44897959,82,24*,29.27*,7.896857373,37.6,21.00228025,,,,,,,,,,,
Texas,271,3979,14.68265683,2454,61.67378738,910,520,57.14285714,22.87006786,132,64,48.48484848,3.317416436,11.9,27.87744904,30,14,46.66666667,751,334,44.47403462,178,56*,31.46*,18.87408897,37.6,50.19704513,,,,,,,,,,,
New York,124,1858,14.98387097,1278,68.78363832,377,216,57.29442971,20.29063509,68,23,33.82352941,3.6598493,15.2,24.07795592,19,2,10.52631579,150,53,35.33333333,45,10,22.22222222,8.073196986,17.6,45.87043742,,,,,,,,,,,
Virginia,110,1655,15.04545455,1074,60.37151703,308,207,67.20779221,18.6102719,78,22,28.20512821,4.712990937,19.9,23.68337154,16,5,31.25,90,42,46.66666667,9,2*,*,5.438066465,7.9,68.83628437,,,,,,,,,,,
Maryland,112,1629,14.54464286,1068,65.56169429,323,190,58.82352941,19.82811541,170,46,27.05882353,10.43585021,29.4,35.49608917,51,10,19.60784314,88,39,44.31818182,18,6*,*,5.40208717,8.2,65.87911183,,,,,,,,,,,
New Jersey,139,1582,11.38129496,1171,74.02022756,242,169,69.83471074,15.29709229,34,16,47.05882353,2.149178255,14.5,14.821919,7,3,42.85714286,96,50,52.08333333,11,2*,18.18*,6.068268015,17.7,34.28400009,,,,,,,,,,,
Illinois,93,1559,16.76344086,1083,69.46760744,203,130,64.03940887,13.02116742,25,10,40,1.603592046,14.9,10.76236273,4,*,*,142,56,39.43661972,23,5,21.73913043,9.108402822,15.8,57.64811913,,,,,,,,,,,
Florida,103,1521,14.76699029,663,43.58974359,306,107,34.96732026,20.1183432,83,16,19.27710843,5.456936226,15.9,34.32035362,5,1,20,269,120,44.60966543,47,14,29.78723404,17.68573307,22.5,78.60325809,,,,,,,,,,,
Georgia,83,1261,15.19277108,644,51.07057891,229,85,37.11790393,18.16019033,129,28,21.70542636,10.22997621,30,34.0999207,33,4,12.12121212,71,29,40.84507042,16,6,37.5,5.630452022,8.8,63.98240934,,,,,,,,,,,
Mass,91,1067,11.72527473,712,66.72914714,188,116,61.70212766,17.61949391,34,13,38.23529412,3.186504217,7,45.52148882,6,1,16.66666667,56,22,39.28571429,16,5*,31.25*,5.248359888,9.6,54.6704155,,,,,,,,,,,
Pennsylvania,126,883,7.007936508,645,73.04643262,106,79,74.52830189,12.00453001,21,14,66.66666667,2.378255946,10.8,22.02088839,3,*,*,17,11*,64.71*,2,*,*,1.925254813,5.7,33.77640023,,,,,,,,,,,
Washington,41,711,17.34146341,534,75.10548523,180,131,72.77777778,25.3164557,12,4,33.33333333,1.687763713,3.7,45.61523549,4,*,*,25,14*,56.00*,2,*,*,3.516174402,11.2,31.39441431,,,,,,,,,,,
Ohio,61,697,11.42622951,553,79.34002869,102,81,79.41176471,14.63414634,16,10,62.5,2.295552367,12,19.12960306,3,*,*,18,10*,55.56*,1,*,*,2.582496413,3.1,83.30633591,,,,,,,,,,,
Michigan,48,577,12.02083333,454,78.68284229,88,68,77.27272727,15.25129983,9,6,66.66666667,1.559792028,14.2,10.9844509,1,*,*,12,5*,*,3,*,*,2.079722704,4.4,47.26642508,,,,,,,,,,,
North Carolina,85,551,6.482352941,347,62.97640653,63,37,58.73015873,11.43375681,28,6,21.42857143,5.081669691,21.6,23.52624857,6,2,33.33333333,22,10*,*,0,0,0,3.992740472,8.4,47.53262467,,,,,,,,,,,
Connecticut,48,460,9.583333333,312,67.82608696,89,56,62.92134831,19.34782609,11,6,54.54545455,2.391304348,10.3,23.21654707,1,*,*,22,13*,59.09*,4,*,*,4.782608696,13.4,35.69110967,,,,,,,,,,,
Indiana,32,391,12.21875,241,61.63682864,64,46,71.875,16.36828645,10,3,30,2.557544757,9.1,28.10488744,2,*,*,12,3,25,2,*,*,3.069053708,6,51.15089514,,,,,,,,,,,
Minnesota,32,377,11.78125,268,71.08753316,55,40,72.72727273,14.58885942,5,2,40,1.326259947,4.6,28.83173798,2,*,*,4,*,*,1,*,*,1.061007958,4.7,22.57463739,,,,,,,,,,,
Colorado,36,370,10.27777778,246,66.48648649,46,25,54.34782609,12.43243243,11,5,45.45454545,2.972972973,4.3,69.13890635,1,*,*,32,11,34.375,3,*,*,8.648648649,20.7,41.78091135,,,,,,,,,,,
Kentucky,29,336,11.5862069,205,61.01190476,65,50,76.92307692,19.3452381,8,4,50,2.380952381,7.7,30.92145949,2,*,*,5,*,*,0,0,0,1.488095238,3.1,48.0030722,,,,,,,,,,,
Wisconsin,42,309,7.357142857,228,73.78640777,28,20,71.42857143,9.061488673,5,1,20,1.618122977,6.1,26.52660619,0,0,0,6,*,*,0,0,0,1.941747573,5.9,32.91097581,,,,,,,,,,,
South Carolina,16,275,17.1875,173,62.90909091,57,26,45.61403509,20.72727273,19,7,36.84210526,6.909090909,28.5,24.24242424,6,2,33.33333333,14,6*,42.86*,3,*,*,5.090909091,5.1,99.82174688,,,,,,,,,,,
Tenn,18,251,13.94444444,165,65.73705179,73,45,61.64383562,29.08366534,25,8,32,9.960159363,16.8,59.28666287,12,4,33.33333333,11,6,54.54545455,3,*,*,4.38247012,4.6,95.27108955,,,,,,,,,,,
Arizona,21,190,9.047619048,113,59.47368421,30,11,36.66666667,15.78947368,22,6,27.27272727,11.57894737,4.2,275.6892231,1,*,*,33,11,33.33333333,7,2*,28.57*,17.36842105,29.6,58.67709815,,,,,,,,,,,
Oregon,11,178,16.18181818,98,55.05617978,22,16,72.72727273,12.35955056,2,*,*,1.123595506,2,56.17977528,0,0,0,3,*,*,0,0,0,1.685393258,11.7,14.40507058,,,,,,,,,,,
Oklahoma,20,174,8.7,104,59.77011494,30,17,56.66666667,17.24137931,9,4,44.44444444,5.172413793,8,64.65517241,4,*,*,9,1*,11.11*,2,*,*,5.172413793,8.9,58.11700891,,,,,,,,,,,
Arkansas,11,173,15.72727273,85,49.13294798,48,17,35.41666667,27.74566474,7,3,42.85714286,4.046242775,15.8,25.60913149,3,*,*,14,3,21.42857143,3,*,*,8.092485549,6.4,126.4450867,,,,,,,,,,,
Missouri,26,173,6.653846154,129,74.56647399,25,14,56,14.45086705,12,6,50,6.936416185,11.5,60.31666248,0,0,0,3,*,*,2,*,*,1.734104046,3.5,49.54582989,,,,,,,,,,,
Maine,24,161,6.708333333,108,67.08074534,25,21,84,15.52795031,0,0,0,0,1.03,0,0,0,0,1,*,*,1,*,*,0.621118012,1.3,47.77830865,,,,,,,,,,,
Alabama,20,126,6.3,99,78.57142857,22,17,77.27272727,17.46031746,8,6,75,6.349206349,26.4,24.05002405,2,*,*,1,*,*,0,0,0,0.793650794,3.9,20.35002036,,,,,,,,,,,
Iowa,12,118,9.833333333,94,79.66101695,11,8,72.72727273,9.322033898,3,*,*,2.542372881,2.7,94.16195857,1,*,*,2,*,*,0,0,0,1.694915254,5,33.89830508,,,,,,,,,,,
Utah,11,103,9.363636364,56,54.36893204,4,*,*,3.883495146,0,0,0,0,1.27,0,0,0,0,6,1*,16.67*,1,*,*,5.825242718,13,44.80955937,,,,,,,,,,,
New Hampshire,17,101,5.941176471,77,76.23762376,12,6,50,11.88118812,2,*,*,1.98019802,1.22,162.3113131,0,0,0,1,*,*,0,0,0,0.99009901,2.8,35.36067893,,,,,,,,,,,
Hawaii,9,83,9.222222222,40,48.19277108,16,6,37.5,19.27710843,2,*,*,2.409638554,3.1,77.73027594,1,*,*,5,*,*,2,*,*,6.024096386,8.9,67.68647624,,,,,,,,,,,
West Virginia,14,81,5.785714286,49,60.49382716,15,9,60,18.51851852,1,*,*,1.234567901,3.6,34.29355281,0,0,0,1,*,*,0,0,0,1.234567901,1.2,102.8806584,,,,,,,,,,,
Delaware,8,64,8,41,64.0625,9,4,44.44444444,14.0625,2,*,*,3.125,21,14.88095238,0,0,0,1,*,*,0,0,0,1.5625,8.2,19.05487805,,,,,,,,,,,
Rhode Island,8,61,7.625,48,78.68852459,9,8,88.88888889,14.75409836,1,*,*,7.438016529,6.4,116.2190083,0,0,0,1,*,*,0,0,0,1.639344262,12.4,13.22051824,,,,,,,,,,,
New Mexico,7,57,8.142857143,43,75.43859649,8,5,62.5,14.03508772,0,0,0,0,3,0,0,0,0,7,3*,42.86*,1,*,*,12.28070175,46.3,26.52419385,,,,,,,,,,,
Nevada,7,51,7.285714286,29,56.8627451,3,*,*,5.882352941,3,*,*,5.882352941,8.1,72.62164125,1,*,*,8,2*,25*,0,0,0,15.68627451,26.5,59.19348872,,,,,,,,,,,
Vermont,7,47,6.714285714,39,82.9787234,3,*,*,6.382978723,1,*,*,2.127659574,0.87,244.5585718,1,*,*,1,*,*,0,0,0,2.127659574,1.5,141.8439716,,,,,,,,,,,
Idaho,6,47,7.833333333,32,68.08510638,9,6,66.66666667,19.14893617,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,11.2,0,,,,,,,,,,,
Kansas,12,47,3.916666667,33,70.21276596,3,*,*,6.382978723,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,10.5,0,,,,,,,,,,,
Nebraska,12,46,3.833333333,35,76.08695652,5,5,100,10.86956522,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,9.2,0,,,,,,,,,,,
Louisiana,21,40,1.904761905,23,57.5,3,*,*,7.5,2,*,*,5,32,15.625,0,0,0,3,*,*,0,0,0,7.5,4.2,178.5714286,,,,,,,,,,,
South Dakota,4,33,8.25,,,5,4,80,15.15151515,1,*,*,3.03030303,1.14,265.8160553,1,*,*,1,*,*,0,0,0,3.03030303,2.7,112.2334456,,,,,,,,,,,
Alaska,2,21,10.5,21,100,2,*,*,9.523809524,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,5.5,0,,,,,,,,,,,
Montana,0,11,*,6,54.54545455,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,2.9,0,,,,,,,,,,,
North Dakota,1,9,9,6,66.66666667,2,*,*,22.22222222,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,
Mississippi,2,1,0.5,*,*,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,0,0,0,0,0,2.7,0,,,,,,,,,,,
Wyoming,2,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,8.9,0,,,,,,,,,,,
,,,,,,,,,,10,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
